Date,TLT,EMB,AGG,Cash,SPY,EFA,VWO,GLD,DBC
1997-12-31,2230.57,2115.100995,6283.265638,4010.957657,11882.173929999999,9438.916364,4124.6,566.796875,1598.7179999999998
1998-01-01,2230.57,2115.100995,6283.265638,4010.957657,11882.173929999999,9438.916364,4124.6,566.796875,1598.7179999999998
1998-01-02,2252.91,2122.5884530000003,6308.692120000001,4010.957657,11943.38532,9438.916364,4122.5,562.5,1596.2079999999999
1998-01-05,2282.9,2118.633214,6349.0658,4027.781055,11970.15639,9438.916364,4091.4,555.46875,1568.954
1998-01-06,2288.34,2090.756183,6354.264825,4031.156666,11778.88588,9438.916364,3969.5,552.34375,1562.0179999999998
1998-01-07,2267.44,2091.433015,6340.617384,4034.31643,11809.48609,9438.916364,3895.1,550.0,1560.099
1998-01-08,2280.28,2078.361691,6361.494720000001,4037.612412,11706.198040000001,9438.916364,3772.4,550.0976559999999,1554.7979999999998
1998-01-09,2294.52,2063.25987,6386.027620000001,4040.7639619999995,11300.69317,9438.916364,3649.6,544.3359379999999,1542.5839999999998
1998-01-12,2299.68,2044.668132,6388.220959,4049.8929380000004,11507.26926,9438.916364,3527.5,544.7265629999999,1533.88
1998-01-13,2298.67,2066.961297,6384.077985,4052.929803,11667.93955,9438.916364,3621.3,545.8984379999999,1551.432
1998-01-14,2290.7,2075.6755129999997,6373.436231000001,4055.9811590000004,11721.50363,9438.916364,3686.4,551.7578129999999,1550.2379999999998
1998-01-15,2291.0,2050.463509,6364.662875999999,4059.028146,11623.94284,9438.916364,3634.2,551.7578129999999,1550.5420000000001
1998-01-16,2274.27,2073.285449,6349.147035,4062.169722,11790.36233,9438.916364,3713.7,566.40625,1560.5729999999999
1998-01-19,2274.27,2073.285449,6349.147035,4071.135386,11790.36233,9438.916364,3826.1,561.0351559999999,1561.454
1998-01-20,2268.8,2076.796516,6346.709992,4074.1290649999996,11981.63284,9438.916364,3797.4,563.28125,1553.8570000000002
